rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
1575,1900,Energy,Vardis Vardinoyannis & family,90.0,Greece,Athens,Oil and gas,Energy,Greece,True,U,M,Vardinoyannis & family,Vardis,,4/4/2023 5:01,101.87,0.2,209852761469.0,136.6,99.6,81.3,26.2,51.9,10716322.0,39.074208,21.824312,Self Made Billionaires
1575,1900,Real Estate,Jitendra Virwani,57.0,India,Bangalore,Real estate,Real Estate,India,False,D,M,Virwani,Jitendra,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
1575,1900,Real Estate,Wang Chaobin,67.0,China,Zhengzhou,Real estate,Real Estate,China,True,E,M,Wang,Chaobin,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Fashion & Retail,Wang Ren-sheng,91.0,China,Zhengzhou,Retail,Fashion & Retail,Taiwan,True,D,M,Wang,Ren-sheng,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Food & Beverage,Charlotte Colket Weber,80.0,United States,Hobe Sound,Campbell Soup,Food & Beverage,United States,False,U,F,Weber,Charlotte Colket,Director,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Healthcare,Xie Juhua & family,72.0,China,Nanjing,Pharmaceuticals,Healthcare,China,False,D,F,Xie,Juhua,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Inherited Wealth
1575,1900,Manufacturing,Chuanhua Xu & family,88.0,China,Hangzhou,"Chemicals, logistics",Manufacturing,China,True,D,M,Xu,Chuanhua,Founder,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Finance & Investments,Gavril Yushvaev & family,65.0,Israel,Tel Aviv,"Precious metals, real estate",Finance & Investments,Russia,True,U,M,Yushvaev,Gavril,,4/4/2023 5:01,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612,Self Made Billionaires
1575,1900,Diversified,Zhang Hongwei,68.0,China,Beijing,"Oil, banking",Diversified,China,True,D,M,Zhang,Hongwei,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Manufacturing,Anita Zucker,71.0,United States,Charleston,Chemicals,Manufacturing,United States,False,U,F,Zucker,Anita,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1647,1800,Technology,Cameron Adams,43.0,Australia,Sydney,Software,Technology,Australia,True,D,M,Adams,Cameron,,4/4/2023 5:01,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,Self Made Billionaires
1647,1800,Fashion & Retail,Will Adderley,51.0,United Kingdom,London,Home furnishings,Fashion & Retail,United Kingdom,False,Split Family Fortune,M,Adderley,Will,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Inherited Wealth
1647,1800,Diversified,Faisal Bin Qassim Al Thani,75.0,Qatar,Doha,"Hotels, diversified",Diversified,Qatar,True,D,M,Al Thani,Faisal Bin Qassim,,4/4/2023 5:01,115.38,-0.7,183466208791.0,17.9,103.8,80.1,14.7,11.3,2832067.0,25.354826,51.183884,Self Made Billionaires
1647,1800,Sports,Leslie Alexander,79.0,United States,Houston,Sports team,Sports,United States,True,E,M,Alexander,Leslie,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1647,1800,Real Estate,Masaaki Arai,57.0,Japan,Tokyo,Home sales,Real Estate,Japan,True,D,M,Arai,Masaaki,,4/4/2023 5:01,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Self Made Billionaires
1647,1800,Fashion & Retail,Sabrina Benetton,49.0,Italy,Treviso,"Fashion retail, investments",Fashion & Retail,Italy,False,U,F,Benetton,Sabrina,,4/4/2023 5:01,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Inherited Wealth
1647,1800,Technology,Sanjeev Bikhchandani,59.0,India,Delhi,Internet,Technology,India,True,D,M,Bikhchandani,Sanjeev,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Self Made Billionaires
1647,1800,Finance & Investments,O. Francis Biondi,58.0,United States,New York,Hedge funds,Finance & Investments,United States,True,E,M,Biondi,O. Francis,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1647,1800,Energy,Alejandro Bulgheroni,78.0,Uruguay,Manantiales,Oil & gas,Energy,Argentina,False,D,M,Bulgheroni,Alejandro,,4/4/2023 5:01,202.92,7.9,56045912952.0,63.1,108.5,77.8,20.1,41.8,3461734.0,-32.522779,-55.765835,Inherited Wealth
1647,1800,Food & Beverage,R.G. Chandramogan,74.0,India,Chennai,Dairy,Food & Beverage,India,True,D,M,Chandramogan,R.G.,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Self Made Billionaires
1647,1800,Diversified,Binod Chaudhary,67.0,Nepal,Kathmandu,Diversified,Diversified,Nepal,False,U,M,Chaudhary,Binod,,4/4/2023 5:01,188.73,5.6,30641380604.0,12.4,142.1,70.5,20.7,41.8,28608710.0,28.394857,84.124008,Inherited Wealth
1647,1800,Technology,Parker Conrad,42.0,United States,San Francisco,Software,Technology,United States,True,N,M,Conrad,Parker,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
